FKL15A,ICD10_Text,Kategori
Z27,Z27 Need for immunization against combinations of infectious diseases,Penyakit Lainnya
Z29,Z29 Need for other prophylactic measures,Penyakit Lainnya
Z30,Z30 Contraceptive management,Penyakit Lainnya
Z31,Z31 Procreative management,Penyakit Lainnya
Z32,Z32 Pregnancy examination and test,Penyakit Lainnya
Z33,"Z33 Pregnant state, incidental",Penyakit Lainnya
Z34,Z34 Supervision of normal pregnancy,Penyakit Lainnya
Z35,Z35 Supervision of high-risk pregnancy,Penyakit Lainnya
Z36,Z36 Antenatal screening,Penyakit Lainnya
Z38,Z38 Liveborn infants according to place of birth,Penyakit Lainnya
Z39,Z39 Postpartum care and examination,Penyakit Lainnya
Z40,Z40 Prophylactic surgery,Penyakit Lainnya
Z41,Z41 Procedures for purposes other than remedying health state,Penyakit Lainnya
Z42,Z42 Follow-up care involving plastic surgery,Penyakit Lainnya
Z43,Z43 Attention to artificial openings,Penyakit Lainnya
Z44,Z44 Fitting and adjustment of external prosthetic device,Penyakit Lainnya
Z45,Z45 Adjustment and management of implanted device,Penyakit Lainnya
Z46,Z46 Fitting and adjustment of other devices,Penyakit Lainnya
Z47,Z47 Other orthopaedic follow-up care,Penyakit Lainnya
Z48,Z48 Other surgical follow-up care,Penyakit Lainnya
Z49,Z49 Care involving dialysis,Penyakit Lainnya
Z50,Z50 Care involving use of rehabilitation procedures,Penyakit Lainnya
Z51,Z51 Other medical care,Penyakit Lainnya
Z52,Z52 Donors of organs and tissues,Penyakit Lainnya
Z53,"Z53 Persons encountering health services for specific procedures, not carried out",Penyakit Lainnya
Z54,Z54 Convalescence,Penyakit Lainnya
Z56,Z56 Problems related to employment and unemployment,Penyakit Lainnya
Z58,Z58 Problems related to physical environment,Penyakit Lainnya
Z59,Z59 Problems related to housing and economic circumstances,Penyakit Lainnya
Z60,Z60 Problems related to social environment,Penyakit Lainnya
Z61,Z61 Problems related to negative life events in childhood,Penyakit Lainnya
Z70,"Z70 Counselling related to sexual attitude, behaviour and orientation",Penyakit Lainnya
Z71,"Z71 Persons encountering health services for other counselling and medical advice, not elsewhere classified",Penyakit Lainnya
Z72,Z72 Problems related to lifestyle,Penyakit Lainnya
Z73,Z73 Problems related to life-management difficulty,Penyakit Lainnya
Z74,Z74 Problems related to care-provider dependency,Penyakit Lainnya
Z75,Z75 Problems related to medical facilities and other health care,Penyakit Lainnya
Z76,Z76 Persons encountering health services in other circumstances,Penyakit Lainnya
Z80,Z80 Family history of malignant neoplasm,Penyakit Lainnya
Z82,Z82 Family history of certain disabilities and chronic diseases leading to disablement,Penyakit Lainnya
Z83,Z83 Family history of other specific disorders,Penyakit Lainnya
Z84,Z84 Family history of other conditions,Penyakit Lainnya
Z85,Z85 Personal history of malignant neoplasm,Penyakit Lainnya
Z86,Z86 Personal history of certain other diseases,Penyakit Lainnya
Z87,Z87 Personal history of other diseases and conditions,Penyakit Lainnya
Z88,"Z88 Personal history of allergy to drugs, medicaments and biological substances",Penyakit Lainnya
Z89,Z89 Acquired absence of limb,Penyakit Lainnya
Z90,"Z90 Acquired absence of organs, not elsewhere classified",Penyakit Lainnya
Z91,"Z91 Personal history of risk-factors, not elsewhere classified",Penyakit Lainnya
Z92,Z92 Personal history of medical treatment,Penyakit Lainnya
Z93,Z93 Artificial opening status,Penyakit Lainnya
Z94,Z94 Transplanted organ and tissue status,Penyakit Lainnya
Z95,Z95 Presence of cardiac and vascular implants and grafts,Penyakit Lainnya
Z96,Z96 Presence of other functional implants,Penyakit Lainnya
Z97,Z97 Presence of other devices,Penyakit Lainnya
Z98,Z98 Other postsurgical states,Penyakit Lainnya
Z99,"Z99 Dependence on enabling machines and devices, not elsewhere classified",Penyakit Lainnya
B04,B04 Monkeypox,Penyakit Lainnya
B80,B80 Enterobiasis,Penyakit Lainnya
C72,"C72 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",Katastropik
F66,F66 Psychological and behavioural disorders associated with sexual development and orientation,Penyakit Lainnya
G02,G02 Meningitis in other infectious and parasitic diseases classified elsewhere,Penyakit Lainnya
L59,L59 Other disorders of skin and subcutaneous tissue related to radiation,Penyakit Lainnya
L71,L71 Rosacea,Penyakit Lainnya
L83,L83 Acanthosis nigricans,Penyakit Lainnya
P53,P53 Haemorrhagic disease of fetus and newborn,Penyakit Lainnya
P77,P77 Necrotizing enterocolitis of fetus and newborn,Penyakit Lainnya
Q14,Q14 Congenital malformations of posterior segment of eye,Penyakit Lainnya
Q60,Q60 Renal agenesis and other reduction defects of kidney,Penyakit Lainnya
Q77,Q77 Osteochondrodysplasia with defects of growth of tubular bones and spine,Penyakit Lainnya
Q93,"Q93 Monosomies and deletions from the autosomes, not elsewhere classified",Penyakit Lainnya
R65,R65 Systemic Inflammatory Response Syndrome [SIRS],Penyakit Lainnya
S77,S77 Crushing injury of hip and thigh,Penyakit Lainnya
T47,T47 Poisoning by agents primarily affecting the gastrointestinal system,Penyakit Lainnya
T86,T86 Failure and rejection of transplanted organs and tissues,Penyakit Lainnya
A21,A21 Tularaemia,Penyakit Lainnya
A22,A22 Anthrax,Penyakit Lainnya
A24,A24 Glanders and melioidosis,Penyakit Lainnya
A26,A26 Erysipeloid,Penyakit Lainnya
A28,"A28 Other zoonotic bacterial diseases, not elsewhere classified",Penyakit Lainnya
A34,A34 Obstetrical tetanus,Penyakit Lainnya
A38,A38 Scarlet fever,Penyakit Lainnya
A43,A43 Nocardiosis,Penyakit Lainnya
A55,A55 Chlamydial lymphogranuloma (venereum),Penyakit Lainnya
A65,A65 Nonvenereal syphilis,Penyakit Lainnya
A67,A67 Pinta [carate],Penyakit Lainnya
A78,A78 Q fever,Penyakit Lainnya
A80,A80 Acute poliomyelitis,Penyakit Lainnya
A83,A83 Mosquito-borne viral encephalitis,Penyakit Lainnya
A84,A84 Tick-borne viral encephalitis,Penyakit Lainnya
A89,A89 Unspecified viral infection of central nervous system,Penyakit Lainnya
A93,"A93 Other arthropod-borne viral fevers, not elsewhere classified",Penyakit Lainnya
A94,A94 Unspecified arthropod-borne viral fever,Penyakit Lainnya
A95,A95 Yellow fever,Penyakit Lainnya
A96,A96 Arenaviral haemorrhagic fever,Penyakit Lainnya
B03,B03 Smallpox,Penyakit Lainnya
B27,B27 Infectious mononucleosis,Penyakit Lainnya
B40,B40 Blastomycosis,Penyakit Lainnya
B47,B47 Mycetoma,Penyakit Lainnya
B55,B55 Leishmaniasis,Penyakit Lainnya
B56,B56 African trypanosomiasis,Penyakit Lainnya
B57,B57 Chagas disease,Penyakit Lainnya
B60,"B60 Other protozoal diseases, not elsewhere classified",Penyakit Lainnya
B64,B64 Unspecified protozoal disease,Penyakit Lainnya
B70,B70 Diphyllobothriasis and sparganosis,Penyakit Lainnya
B75,B75 Trichinellosis,Penyakit Lainnya
B78,B78 Strongyloidiasis,Penyakit Lainnya
B79,B79 Trichuriasis,Penyakit Lainnya
B81,"B81 Other intestinal helminthiases, not elsewhere classified",Penyakit Lainnya
B89,B89 Unspecified parasitic disease,Penyakit Lainnya
B91,B91 Sequelae of poliomyelitis,Penyakit Lainnya
B98,B98 Other specified infectious agents as the cause of diseases classified to other chapters,Penyakit Lainnya
C13,C13 Malignant neoplasm of hypopharynx,Katastropik
C39,C39 Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Katastropik
C48,C48 Malignant neoplasm of retroperitoneum and peritoneum,Katastropik
C86,C86 Other specified types of T/NK-cell lymphoma,Penyakit Lainnya
C88,C88 Malignant immunoproliferative diseases,Katastropik
D57,D57 Sickle-cell disorders,Penyakit Lainnya
D60,D60 Acquired pure red cell aplasia [erythroblastopenia],Penyakit Lainnya
D63,D63 Anaemia in chronic diseases classified elsewhere,Penyakit Lainnya
D71,D71 Functional disorders of polymorphonuclear neutrophils,Penyakit Lainnya
D74,D74 Methaemoglobinaemia,Penyakit Lainnya
D77,D77 Other disorders of blood and blood-forming organs in diseases classified elsewhere,Katastropik
D82,D82 Immunodeficiency associated with other major defects,Penyakit Lainnya
E00,E00 Congenital iodine-deficiency syndrome,Penyakit Lainnya
E25,E25 Adrenogenital disorders,Penyakit Lainnya
E29,E29 Testicular dysfunction,Penyakit Lainnya
E31,E31 Polyglandular dysfunction,Penyakit Lainnya
E35,E35 Disorders of endocrine glands in diseases classified elsewhere,Penyakit Lainnya
E55,E55 Vitamin D deficiency,Penyakit Lainnya
E58,E58 Dietary calcium deficiency,Penyakit Lainnya
E59,E59 Dietary selenium deficiency,Penyakit Lainnya
E61,E61 Deficiency of other nutrient elements,Penyakit Lainnya
E65,E65 Localized adiposity,Penyakit Lainnya
E71,E71 Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,Penyakit Lainnya
E72,E72 Other disorders of amino-acid metabolism,Penyakit Lainnya
E77,E77 Disorders of glycoprotein metabolism,Penyakit Lainnya
F00,F00 Dementia in Alzheimer disease,Penyakit Lainnya
F02,F02 Dementia in other diseases classified elsewhere,Penyakit Lainnya
F11,F11 Mental and behavioural disorders due to use of opioids,Penyakit Lainnya
F12,F12 Mental and behavioural disorders due to use of cannabinoids,Penyakit Lainnya
F16,F16 Mental and behavioural disorders due to use of hallucinogens,Penyakit Lainnya
F17,F17 Mental and behavioural disorders due to use of tobacco,Penyakit Lainnya
F24,F24 Induced delusional disorder,Penyakit Lainnya
F54,F54 Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Penyakit Lainnya
F62,"F62 Enduring personality changes, not attributable to brain damage and disease",Penyakit Lainnya
F64,F64 Gender identity disorders,Penyakit Lainnya
F68,F68 Other disorders of adult personality and behaviour,Penyakit Lainnya
F69,F69 Unspecified disorder of adult personality and behaviour,Penyakit Lainnya
F73,F73 Profound mental retardation,Penyakit Lainnya
F94,F94 Disorders of social functioning with onset specific to childhood and adolescence,Penyakit Lainnya
G01,G01 Meningitis in bacterial diseases classified elsewhere,Penyakit Lainnya
G05,"G05 Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",Penyakit Lainnya
G07,G07 Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Penyakit Lainnya
G13,G13 Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Penyakit Lainnya
G14,G14 Postpolio syndrome,Penyakit Lainnya
G22,G22 Parkinsonism in diseases classified elsewhere,Penyakit Lainnya
G26,G26 Extrapyramidal and movement disorders in diseases classified elsewhere,Penyakit Lainnya
G32,G32 Other degenerative disorders of nervous system in diseases classified elsewhere,Penyakit Lainnya
G46,G46 Vascular syndromes of brain in cerebrovascular diseases,Penyakit Lainnya
G53,G53 Cranial nerve disorders in diseases classified elsewhere,Penyakit Lainnya
G55,G55 Nerve root and plexus compressions in diseases classified elsewhere,Penyakit Lainnya
G59,G59 Mononeuropathy in diseases classified elsewhere,Penyakit Lainnya
G73,G73 Disorders of myoneural junction and muscle in diseases classified elsewhere,Penyakit Lainnya
G94,G94 Other disorders of brain in diseases classified elsewhere,Penyakit Lainnya
G99,G99 Other disorders of nervous system in diseases classified elsewhere,Penyakit Lainnya
H03,H03 Disorders of eyelid in diseases classified elsewhere,Penyakit Lainnya
H06,H06 Disorders of lacrimal system and orbit in diseases classified elsewhere,Penyakit Lainnya
H13,H13 Disorders of conjunctiva in diseases classified elsewhere,Penyakit Lainnya
H19,H19 Disorders of sclera and cornea in diseases classified elsewhere,Penyakit Lainnya
H22,H22 Disorders of iris and ciliary body in diseases classified elsewhere,Penyakit Lainnya
H28,H28 Cataract and other disorders of lens in diseases classified elsewhere,Penyakit Lainnya
H32,H32 Chorioretinal disorders in diseases classified elsewhere,Penyakit Lainnya
H36,H36 Retinal disorders in diseases classified elsewhere,Penyakit Lainnya
H42,H42 Glaucoma in diseases classified elsewhere,Penyakit Lainnya
H45,H45 Disorders of vitreous body and globe in diseases classified elsewhere,Penyakit Lainnya
H48,H48 Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,Penyakit Lainnya
H58,H58 Other disorders of eye and adnexa in diseases classified elsewhere,Penyakit Lainnya
H62,H62 Disorders of external ear in diseases classified elsewhere,Penyakit Lainnya
H67,H67 Otitis media in diseases classified elsewhere,Penyakit Lainnya
H75,H75 Other disorders of middle ear and mastoid in diseases classified elsewhere,Penyakit Lainnya
H82,H82 Vertiginous syndromes in diseases classified elsewhere,Penyakit Lainnya
H94,H94 Other disorders of ear in diseases classified elsewhere,Penyakit Lainnya
I32,I32 Pericarditis in diseases classified elsewhere,Katastropik
I36,I36 Nonrheumatic tricuspid valve disorders,Katastropik
I39,I39 Endocarditis and heart valve disorders in diseases classified elsewhere,Katastropik
I41,I41 Myocarditis in diseases classified elsewhere,Katastropik
I43,I43 Cardiomyopathy in diseases classified elsewhere,Katastropik
I52,I52 Other heart disorders in diseases classified elsewhere,Katastropik
I68,I68 Cerebrovascular disorders in diseases classified elsewhere,Katastropik
I79,"I79 Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",Katastropik
I84,I84 Haemorrhoids,Penyakit Lainnya
J09,J09 Influenza due to certain identified influenza virus,Penyakit Lainnya
J17,J17 Pneumonia in diseases classified elsewhere,Penyakit Lainnya
J60,J60 Coalworker pneumoconiosis,Penyakit Lainnya
J61,J61 Pneumoconiosis due to asbestos and other mineral fibres,Penyakit Lainnya
J62,J62 Pneumoconiosis due to dust containing silica,Penyakit Lainnya
J64,J64 Unspecified pneumoconiosis,Penyakit Lainnya
J66,J66 Airway disease due to specific organic dust,Penyakit Lainnya
J67,J67 Hypersensitivity pneumonitis due to organic dust,Penyakit Lainnya
J82,"J82 Pulmonary eosinophilia, not elsewhere classified",Penyakit Lainnya
J92,J92 Pleural plaque,Penyakit Lainnya
J99,J99 Respiratory disorders in diseases classified elsewhere,Penyakit Lainnya
K23,K23 Disorders of oesophagus in diseases classified elsewhere,Penyakit Lainnya
K67,K67 Disorders of peritoneum in infectious diseases classified elsewhere,Penyakit Lainnya
K77,K77 Liver disorders in diseases classified elsewhere,Penyakit Lainnya
K87,"K87 Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",Penyakit Lainnya
L14,L14 Bullous disorders in diseases classified elsewhere,Penyakit Lainnya
L45,L45 Papulosquamous disorders in diseases classified elsewhere,Penyakit Lainnya
L54,L54 Erythema in diseases classified elsewhere,Penyakit Lainnya
L55,L55 Sunburn,Penyakit Lainnya
L62,L62 Nail disorders in diseases classified elsewhere,Penyakit Lainnya
L67,L67 Hair colour and hair shaft abnormalities,Penyakit Lainnya
L68,L68 Hypertrichosis,Penyakit Lainnya
L75,L75 Apocrine sweat disorders,Penyakit Lainnya
L86,L86 Keratoderma in diseases classified elsewhere,Penyakit Lainnya
L87,L87 Transepidermal elimination disorders,Penyakit Lainnya
L99,L99 Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,Penyakit Lainnya
M01,M01 Direct infections of joint in infectious and parasitic diseases classified elsewhere,Penyakit Lainnya
M03,M03 Postinfective and reactive arthropathies in diseases classified elsewhere,Penyakit Lainnya
M07,M07 Psoriatic and enteropathic arthropathies,Penyakit Lainnya
M09,M09 Juvenile arthritis in diseases classified elsewhere,Penyakit Lainnya
M33,M33 Dermatopolymyositis,Penyakit Lainnya
M36,M36 Systemic disorders of connective tissue in diseases classified elsewhere,Penyakit Lainnya
M49,M49 Spondylopathies in diseases classified elsewhere,Penyakit Lainnya
M63,M63 Disorders of muscle in diseases classified elsewhere,Penyakit Lainnya
M68,M68 Disorders of synovium and tendon in diseases classified elsewhere,Penyakit Lainnya
M73,M73 Soft tissue disorders in diseases classified elsewhere,Penyakit Lainnya
M82,M82 Osteoporosis in diseases classified elsewhere,Penyakit Lainnya
M90,M90 Osteopathies in diseases classified elsewhere,Penyakit Lainnya
M91,M91 Juvenile osteochondrosis of hip and pelvis,Penyakit Lainnya
N07,"N07 Hereditary nephropathy, not elsewhere classified",Penyakit Lainnya
N08,N08 Glomerular disorders in diseases classified elsewhere,Penyakit Lainnya
N16,N16 Renal tubulo-interstitial disorders in diseases classified elsewhere,Penyakit Lainnya
N22,N22 Calculus of urinary tract in diseases classified elsewhere,Penyakit Lainnya
N29,N29 Other disorders of kidney and ureter in diseases classified elsewhere,Penyakit Lainnya
N33,N33 Bladder disorders in diseases classified elsewhere,Penyakit Lainnya
N37,N37 Urethral disorders in diseases classified elsewhere,Penyakit Lainnya
N51,N51 Disorders of male genital organs in diseases classified elsewhere,Penyakit Lainnya
N74,N74 Female pelvic inflammatory disorders in diseases classified elsewhere,Penyakit Lainnya
N77,N77 Vulvovaginal ulceration and inflammation in diseases classified elsewhere,Penyakit Lainnya
O74,O74 Complications of anaesthesia during labour and delivery,Penyakit Lainnya
O89,O89 Complications of anaesthesia during the puerperium,Penyakit Lainnya
O94,"O94 Sequelae of complication of pregnancy, childbirth and the puerperium",Penyakit Lainnya
O97,O97 Death from sequelae of obstetric causes,Penyakit Lainnya
P25,P25 Interstitial emphysema and related conditions originating in the perinatal period,Penyakit Lainnya
P27,P27 Chronic respiratory disease originating in the perinatal period,Penyakit Lainnya
P75,P75 Meconium ileus in cystic fibrosis,Penyakit Lainnya
P93,P93 Reactions and intoxications due to drugs administered to fetus and newborn,Penyakit Lainnya
Q07,Q07 Other congenital malformations of nervous system,Penyakit Lainnya
Q71,Q71 Reduction defects of upper limb,Penyakit Lainnya
Q84,Q84 Other congenital malformations of integument,Penyakit Lainnya
Q99,"Q99 Other chromosome abnormalities, not elsewhere classified",Penyakit Lainnya
R36,R36 Urethral discharge,Penyakit Lainnya
R44,R44 Other symptoms and signs involving general sensations and perceptions,Penyakit Lainnya
R45,R45 Symptoms and signs involving emotional state,Penyakit Lainnya
R70,R70 Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity,Penyakit Lainnya
R71,R71 Abnormality of red blood cells,Penyakit Lainnya
R76,R76 Other abnormal immunological findings in serum,Penyakit Lainnya
R78,"R78 Findings of drugs and other substances, not normally found in blood",Penyakit Lainnya
R80,R80 Isolated proteinuria,Penyakit Lainnya
R81,R81 Glycosuria,Penyakit Lainnya
R83,R83 Abnormal findings in cerebrospinal fluid,Penyakit Lainnya
R86,R86 Abnormal findings in specimens from male genital organs,Penyakit Lainnya
R87,R87 Abnormal findings in specimens from female genital organs,Penyakit Lainnya
R89,"R89 Abnormal findings in specimens from other organs, systems and tissues",Penyakit Lainnya
R92,R92 Abnormal findings on diagnostic imaging of breast,Penyakit Lainnya
R95,R95 Sudden infant death syndrome,Penyakit Lainnya
S17,S17 Crushing injury of neck,Penyakit Lainnya
S18,S18 Traumatic amputation at neck level,Penyakit Lainnya
S26,S26 Injury of heart,Penyakit Lainnya
S35,"S35 Injury of blood vessels at abdomen, lower back and pelvis level",Penyakit Lainnya
S48,S48 Traumatic amputation of shoulder and upper arm,Penyakit Lainnya
S58,S58 Traumatic amputation of forearm,Penyakit Lainnya
S78,S78 Traumatic amputation of hip and thigh,Penyakit Lainnya
T27,T27 Burn and corrosion of respiratory tract,Penyakit Lainnya
T33,T33 Superficial frostbite,Penyakit Lainnya
T38,"T38 Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified",Penyakit Lainnya
T40,T40 Poisoning by narcotics and psychodysleptics [hallucinogens],Penyakit Lainnya
T42,"T42 Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs",Penyakit Lainnya
T43,"T43 Poisoning by psychotropic drugs, not elsewhere classified",Penyakit Lainnya
T46,T46 Poisoning by agents primarily affecting the cardiovascular system,Penyakit Lainnya
T55,T55 Toxic effect of soaps and detergents,Penyakit Lainnya
T58,T58 Toxic effect of carbon monoxide,Penyakit Lainnya
T69,T69 Other effects of reduced temperature,Penyakit Lainnya
T96,"T96 Sequelae of poisoning by drugs, medicaments and biological substances",Penyakit Lainnya
T97,T97 Sequelae of toxic effects of substances chiefly nonmedicinal as to source,Penyakit Lainnya
U88,U88 Agent resistant to multiple antibiotics,Penyakit Lainnya
V01,V01 Pedestrian injured in collision with pedal cycle,Kecelakaan
V03,"V03 Pedestrian injured in collision with car, pick-up truck or van",Kecelakaan
V09,V09 Pedestrian injured in other and unspecified transport accidents,Kecelakaan
V10,V10 Pedal cyclist injured in collision with pedestrian or animal,Kecelakaan
V12,V12 Pedal cyclist injured in collision with two- or three-wheeled motor vehicle,Kecelakaan
V13,"V13 Pedal cyclist injured in collision with car, pick-up truck or van",Kecelakaan
V18,V18 Pedal cyclist injured in noncollision transport accident,Kecelakaan
V19,V19 Pedal cyclist injured in other and unspecified transport accidents,Kecelakaan
V21,V21 Motorcycle rider injured in collision with pedal cycle,Kecelakaan
V22,V22 Motorcycle rider injured in collision with two- or three-wheeled motor vehicle,Kecelakaan
V28,V28 Motorcycle rider injured in noncollision transport accident,Kecelakaan
V29,V29 Motorcycle rider injured in other and unspecified transport accidents,Kecelakaan
V30,V30 Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal,Kecelakaan
V38,V38 Occupant of three-wheeled motor vehicle injured in noncollision transport accident,Kecelakaan
V45,V45 Car occupant injured in collision with railway train or railway vehicle,Kecelakaan
V48,V48 Car occupant injured in noncollision transport accident,Kecelakaan
V55,V55 Occupant of pick-up truck or van injured in collision with railway train or railway vehicle,Kecelakaan
V60,V60 Occupant of heavy transport vehicle injured in collision with pedestrian or animal,Kecelakaan
V73,"V73 Bus occupant injured in collision with car, pick-up truck or van",Kecelakaan
V89,"V89 Motor- or nonmotor-vehicle accident, type of vehicle unspecified",Kecelakaan
V98,V98 Other specified transport accidents,Kecelakaan
W00,W00 Fall on same level involving ice and snow,Penyakit Lainnya
W01,"W01 Fall on same level from slipping, tripping and stumbling",Penyakit Lainnya
W03,"W03 Other fall on same level due to collision with, or pushing by, another person",Penyakit Lainnya
W06,W06 Fall involving bed,Penyakit Lainnya
W07,W07 Fall involving chair,Penyakit Lainnya
W10,W10 Fall on and from stairs and steps,Penyakit Lainnya
W11,W11 Fall on and from ladder,Penyakit Lainnya
W13,"W13 Fall from, out of or through building or structure",Penyakit Lainnya
W14,W14 Fall from tree,Penyakit Lainnya
W18,W18 Other fall on same level,Penyakit Lainnya
W19,W19 Unspecified fall,Penyakit Lainnya
W20,"W20 Struck by thrown, projected or falling object",Penyakit Lainnya
W21,W21 Striking against or struck by sports equipment,Penyakit Lainnya
W22,W22 Striking against or struck by other objects,Penyakit Lainnya
W23,"W23 Caught, crushed, jammed or pinched in or between objects",Penyakit Lainnya
W25,W25 Contact with sharp glass,Penyakit Lainnya
W26,"W26 Contact with knife, sword or dagger",Penyakit Lainnya
W27,W27 Contact with nonpowered hand tool,Penyakit Lainnya
W29,W29 Contact with other powered hand tools and household machinery,Penyakit Lainnya
W32,W32 Handgun discharge,Penyakit Lainnya
W33,"W33 Rifle, shotgun and larger firearm discharge",Penyakit Lainnya
W34,W34 Discharge from other and unspecified firearms,Penyakit Lainnya
W39,W39 Discharge of firework,Penyakit Lainnya
W44,W44 Foreign body entering into or through eye or natural orifice,Penyakit Lainnya
W45,W45 Foreign body or object entering through skin,Penyakit Lainnya
W46,W46 Contact with hypodermic needle,Penyakit Lainnya
W49,W49 Exposure to other and unspecified inanimate mechanical forces,Penyakit Lainnya
W50,"W50 Hit, struck, kicked, twisted, bitten or scratched by another person",Penyakit Lainnya
W51,W51 Striking against or bumped into by another person,Penyakit Lainnya
W53,W53 Bitten by rat,Penyakit Lainnya
W54,W54 Bitten or struck by dog,Penyakit Lainnya
W55,W55 Bitten or struck by other mammals,Penyakit Lainnya
W56,W56 Contact with marine animal,Penyakit Lainnya
W57,W57 Bitten or stung by nonvenomous insect and other nonvenomous arthropods,Penyakit Lainnya
W59,W59 Bitten or crushed by other reptiles,Penyakit Lainnya
W60,W60 Contact with plant thorns and spines and sharp leaves,Penyakit Lainnya
W64,W64 Exposure to other and unspecified animate mechanical forces,Penyakit Lainnya
W74,W74 Unspecified drowning and submersion,Penyakit Lainnya
W78,W78 Inhalation of gastric contents,Penyakit Lainnya
X00,X00 Exposure to uncontrolled fire in building or structure,Penyakit Lainnya
X02,X02 Exposure to controlled fire in building or structure,Penyakit Lainnya
X08,"X08 Exposure to other specified smoke, fire and flames",Penyakit Lainnya
X09,"X09 Exposure to unspecified smoke, fire and flames",Penyakit Lainnya
X11,X11 Contact with hot tap-water,Penyakit Lainnya
X19,X19 Contact with other and unspecified heat and hot substances,Penyakit Lainnya
X20,X20 Contact with venomous snakes and lizards,Penyakit Lainnya
X22,X22 Contact with scorpions,Penyakit Lainnya
X27,X27 Contact with other specified venomous animals,Penyakit Lainnya
X47,X47 Accidental poisoning by and exposure to other gases and vapours,Penyakit Lainnya
X48,X48 Accidental poisoning by and exposure to pesticides,Penyakit Lainnya
X49,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Penyakit Lainnya
X50,X50 Overexertion and strenuous or repetitive movements,Penyakit Lainnya
X54,X54 Lack of water,Penyakit Lainnya
X58,X58 Exposure to other specified factors,Penyakit Lainnya
X59,X59 Exposure to unspecified factor,Penyakit Lainnya
X60,"X60 Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Penyakit Lainnya
X64,"X64 Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Penyakit Lainnya
X68,X68 Intentional self-poisoning by and exposure to pesticides,Penyakit Lainnya
Y01,Y01 Assault by pushing from high place,Penyakit Lainnya
Y06,Y06 Neglect and abandonment,Penyakit Lainnya
Y08,Y08 Assault by other specified means,Penyakit Lainnya
Y22,"Y22 Handgun discharge, undetermined intent",Penyakit Lainnya
Y28,"Y28 Contact with sharp object, undetermined intent",Penyakit Lainnya
Y30,"Y30 Falling, jumping or pushed from a high place, undetermined intent",Penyakit Lainnya
Y32,"Y32 Crashing of motor vehicle, undetermined intent",Penyakit Lainnya
Y35,Y35 Legal intervention,Penyakit Lainnya
Y40,Y40 Systemic antibiotics,Penyakit Lainnya
Y42,"Y42 Hormones and their synthetic substitutes and antagonists, not elsewhere classified",Penyakit Lainnya
Y45,"Y45 Analgesics, antipyretics and anti-inflammatory drugs",Penyakit Lainnya
Y46,Y46 Antiepileptics and antiparkinsonism drugs,Penyakit Lainnya
Y51,Y51 Drugs primarily affecting the autonomic nervous system,Penyakit Lainnya
Y54,Y54 Agents primarily affecting water-balance and mineral and uric acid metabolism,Penyakit Lainnya
Y55,Y55 Agents primarily acting on smooth and skeletal muscles and the respiratory system,Penyakit Lainnya
Y57,Y57 Other and unspecified drugs and medicaments,Penyakit Lainnya
Y58,Y58 Bacterial vaccines,Penyakit Lainnya
Y60,"Y60 Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care",Penyakit Lainnya
Y61,Y61 Foreign object accidentally left in body during surgical and medical care,Penyakit Lainnya
Y62,Y62 Failure of sterile precautions during surgical and medical care,Penyakit Lainnya
Y70,Y70 Anaesthesiology devices associated with adverse incidents,Penyakit Lainnya
Y72,Y72 Otorhinolaryngological devices associated with adverse incidents,Penyakit Lainnya
Y73,Y73 Gastroenterology and urology devices associated with adverse incidents,Penyakit Lainnya
Y75,Y75 Neurological devices associated with adverse incidents,Penyakit Lainnya
Y76,Y76 Obstetric and gynaecological devices associated with adverse incidents,Penyakit Lainnya
Y78,Y78 Radiological devices associated with adverse incidents,Penyakit Lainnya
Y79,Y79 Orthopaedic devices associated with adverse incidents,Penyakit Lainnya
Y80,Y80 Physical medicine devices associated with adverse incidents,Penyakit Lainnya
Y81,Y81 General- and plastic-surgery devices associated with adverse incidents,Penyakit Lainnya
Y82,Y82 Other and unspecified medical devices associated with adverse incidents,Penyakit Lainnya
Y83,"Y83 Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Penyakit Lainnya
Y84,"Y84 Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Penyakit Lainnya
